Date,Coffee,Soybean,Wheat,Cotton,Maize,Onion,Sugar,Turmeric
2021-01-01,12400.0,4140.76,2094.37,5552.88,1296.750514857311,2172.17,3222.0,5552.85
2021-01-02,12400.0,4105.05,2288.28,5544.25,1313.0051880674448,3046.76,3222.0,6906.67
2021-01-03,12200.0,4222.87,1591.33,5473.75,1399.679012345679,2293.75,3228.6666666666665,5200.0
2021-01-04,12000.0,4260.4,2311.38,5595.69,1285.3588879528222,896.13,3235.3333333333335,5614.35
2021-01-05,9005.99,4269.38,2685.35,5549.85,1303.0612629594723,755.43,3242.0,6250.83
2021-01-06,7645.0,4208.79,3091.55,5666.09,1312.9915254237287,1597.04,3242.0,6019.56
2021-01-07,8521.05,4163.75,1563.14,5700.0,1679.375,1605.06,3239.5,5510.0
2021-01-08,10647.26,4118.71,1599.09,5706.76,1225.0,1358.03,3237.0,5798.24
2021-01-09,10647.62,4073.67,1858.58,5361.86,1349.789029535865,1402.22,3234.5,5836.18
2021-01-10,9174.460000000001,4087.335,1715.17,5231.73,1400.0,2243.98,3232.0,5874.12
2021-01-11,7701.3,4101.0,3208.68,5600.0,1605.6186440677966,1947.9,3229.5,5912.0599999999995
2021-01-12,7750.0,4155.43,1724.78,5517.76,1220.2666666666669,1542.31,3227.0,5950.0
2021-01-13,7641.18,4155.82,1673.44,5592.7,1275.6586572438162,1578.3795,3224.5,5853.98
2021-01-14,11036.84,4130.31,2539.62,5612.23,1295.8001378359752,1614.4489999999998,3222.0,6345.0
2021-01-15,13279.26,4343.44,2743.09,5629.27,1235.8423913043478,1650.5185,3222.0,7416.67
2021-01-16,10364.57,4283.23,2356.84,5602.56,1305.4455040871935,1686.588,3212.0,10000.0
2021-01-17,8975.225,4366.15,1713.03,5623.91,1215.75,1722.6574999999998,3212.0,8101.014999999999
2021-01-18,7585.88,4252.3,2304.74,5590.48,1273.2761835130689,1758.7269999999999,3212.0,6202.03
2021-01-19,7405.56,4193.87,2527.74,5609.84,1281.951585156058,1794.7965,3202.0,6594.51
2021-01-20,8044.05,4129.38,2200.71,5579.36,1291.8465260974767,1830.866,3202.0,6055.3
2021-01-21,7087.11,3593.66,2182.45,5594.33,1295.551987281399,1866.9354999999998,3202.0,6389.84
2021-01-22,6882.86,4192.63,2311.47,5642.99,1343.86573816156,1903.0049999999999,3212.0,6181.33
2021-01-23,6450.0,4215.88,2363.81,5626.78,1334.803807106599,1939.0745,3222.0,6614.55
2021-01-24,6970.455,4213.79,1743.97,5597.1,1400.5642701525055,1975.1439999999998,3222.0,6570.22
2021-01-25,7490.91,4117.27,2199.04,5639.34,1309.5623901581723,2011.2134999999998,3222.0,6525.89
2021-01-26,8424.25,4089.33,1700.62,5584.99,1683.7662337662337,2047.283,3217.0,6468.6849999999995
2021-01-27,7409.98,4159.0,2437.33,5619.31,1311.4754373687897,2083.3525,3212.0,6411.48
2021-01-28,8248.74,4178.5,2248.83,5592.47,1316.7039140445129,2119.4219999999996,3212.0,10000.0
