freight_id,source_port_id,destination_port_id,container_type,freight_cost_usd,transit_days,service_type,currency
1,1,5,20FT,902,8,Direct,USD
2,1,5,40FT,1568,8,Direct,USD
3,1,6,20FT,902,8,Direct,USD
4,1,6,40FT,1568,8,Direct,USD
5,1,7,20FT,902,8,Direct,USD
6,1,7,40FT,1568,8,Direct,USD
7,1,8,20FT,902,8,Direct,USD
8,1,8,40FT,1568,8,Direct,USD
9,1,21,20FT,900,9,Direct,USD
10,1,21,40FT,1550,9,Direct,USD
11,1,26,20FT,1150,12,Direct,USD
12,1,26,40FT,1950,12,Direct,USD
13,1,27,20FT,1150,12,Direct,USD
14,1,27,40FT,1950,12,Direct,USD
15,1,28,20FT,1150,12,Direct,USD
16,1,28,40FT,1950,12,Direct,USD
17,1,29,20FT,1150,12,Direct,USD
18,1,29,40FT,1950,12,Direct,USD
19,1,33,20FT,1200,13,Direct,USD
20,1,33,40FT,2000,13,Direct,USD
21,1,34,20FT,1200,13,Direct,USD
22,1,34,40FT,2000,13,Direct,USD
23,1,35,20FT,1200,13,Direct,USD
24,1,35,40FT,2000,13,Direct,USD
25,1,36,20FT,1200,13,Direct,USD
26,1,36,40FT,2000,13,Direct,USD
27,1,37,20FT,413,6,Direct,USD
28,1,37,40FT,708,6,Direct,USD
29,1,38,20FT,413,6,Direct,USD
30,1,38,40FT,708,6,Direct,USD
31,1,39,20FT,413,6,Direct,USD
32,1,39,40FT,708,6,Direct,USD
33,1,40,20FT,420,4,Direct,USD
34,1,40,40FT,700,4,Direct,USD
35,1,41,20FT,420,4,Direct,USD
36,1,41,40FT,700,4,Direct,USD
37,1,42,20FT,420,4,Direct,USD
38,1,42,40FT,700,4,Direct,USD
39,1,43,20FT,450,8,Multimodal,USD
40,1,43,40FT,750,8,Multimodal,USD
41,1,44,20FT,450,8,Multimodal,USD
42,1,44,40FT,750,8,Multimodal,USD
43,1,49,20FT,1900,18,Direct,USD
44,1,49,40FT,3200,18,Direct,USD
45,1,50,20FT,1900,18,Direct,USD
46,1,50,40FT,3200,18,Direct,USD
47,1,51,20FT,1900,18,Direct,USD
48,1,51,40FT,3200,18,Direct,USD
49,1,52,20FT,1900,18,Direct,USD
50,1,52,40FT,3200,18,Direct,USD
51,1,57,20FT,2565,27,Transshipment,USD
52,1,57,40FT,4180,27,Transshipment,USD
53,1,58,20FT,2565,27,Transshipment,USD
54,1,58,40FT,4180,27,Transshipment,USD
55,1,59,20FT,2800,28,Transshipment,USD
56,1,59,40FT,4600,28,Transshipment,USD
57,1,60,20FT,2800,28,Transshipment,USD
58,1,60,40FT,4600,28,Transshipment,USD
59,1,88,20FT,900,9,Direct,USD
60,1,88,40FT,1550,9,Direct,USD
61,1,89,20FT,900,9,Direct,USD
62,1,89,40FT,1550,9,Direct,USD
63,1,90,20FT,2800,28,Transshipment,USD
64,1,90,40FT,4600,28,Transshipment,USD
65,1,91,20FT,2800,28,Transshipment,USD
66,1,91,40FT,4600,28,Transshipment,USD
67,2,5,20FT,950,8,Direct,USD
68,2,5,40FT,1650,8,Direct,USD
69,2,6,20FT,950,8,Direct,USD
70,2,6,40FT,1650,8,Direct,USD
71,2,7,20FT,950,8,Direct,USD
72,2,7,40FT,1650,8,Direct,USD
73,2,8,20FT,950,8,Direct,USD
74,2,8,40FT,1650,8,Direct,USD
75,2,21,20FT,1008,10,Direct,USD
76,2,21,40FT,1736,10,Direct,USD
77,2,26,20FT,1288,13,Direct,USD
78,2,26,40FT,2184,13,Direct,USD
79,2,27,20FT,1288,13,Direct,USD
80,2,27,40FT,2184,13,Direct,USD
81,2,28,20FT,1288,13,Direct,USD
82,2,28,40FT,2184,13,Direct,USD
83,2,29,20FT,1288,13,Direct,USD
84,2,29,40FT,2184,13,Direct,USD
85,2,33,20FT,1320,14,Direct,USD
86,2,33,40FT,2200,14,Direct,USD
87,2,34,20FT,1320,14,Direct,USD
88,2,34,40FT,2200,14,Direct,USD
89,2,35,20FT,1320,14,Direct,USD
90,2,35,40FT,2200,14,Direct,USD
91,2,36,20FT,1320,14,Direct,USD
92,2,36,40FT,2200,14,Direct,USD
93,2,37,20FT,420,7,Direct,USD
94,2,37,40FT,720,7,Direct,USD
95,2,38,20FT,420,7,Direct,USD
96,2,38,40FT,720,7,Direct,USD
97,2,39,20FT,420,7,Direct,USD
98,2,39,40FT,720,7,Direct,USD
99,2,40,20FT,462,5,Direct,USD
100,2,40,40FT,770,5,Direct,USD
101,2,41,20FT,462,5,Direct,USD
102,2,41,40FT,770,5,Direct,USD
103,2,42,20FT,462,5,Direct,USD
104,2,42,40FT,770,5,Direct,USD
