Date,WHEAT,SUGAR,COFFEE,COTTON,SOYBEANS
2000-02-01,258.0,5.39,111.65,57.13,510.0
2000-03-01,247.75,5.08,101.15,59.5,496.5
2000-05-01,251.0,6.53,100.3,56.3,555.0
2000-06-01,270.5,7.79,94.45,60.25,522.5
2000-08-01,245.0,10.35,86.3,59.01,442.0
2000-09-01,250.25,10.82,75.0,63.49,492.75
2000-11-01,254.75,9.75,73.9,62.57,462.75
2000-12-01,260.25,9.66,67.0,64.35,508.0
2000-02-02,257.25,5.5,112.25,57.04,507.5
2000-03-02,247.25,4.96,105.1,58.65,501.5
2000-05-02,254.25,6.4,99.1,57.75,554.25
2000-06-02,271.25,8.14,95.55,58.99,533.75
2000-08-02,246.25,10.79,86.45,58.64,445.5
2000-10-02,267.0,9.64,79.35,63.53,489.5
2000-11-02,259.75,9.54,74.25,62.91,473.25
2000-01-03,247.5,6.1,116.5,51.07,456.5
2000-02-03,253.75,5.61,112.95,56.09,501.0
2000-03-03,247.5,5.05,104.35,59.05,504.0
2000-04-03,257.75,5.91,102.1,58.39,546.5
2000-05-03,260.0,6.4,94.45,56.95,560.75
2000-07-03,245.5,8.5,84.85,50.88,468.5
2000-08-03,242.25,11.06,85.85,58.89,439.75
2000-10-03,268.75,9.71,79.4,63.95,489.0
2000-11-03,264.0,9.57,73.6,63.75,473.25
2000-01-04,247.25,5.77,116.25,50.73,464.25
2000-02-04,257.0,5.79,112.9,56.08,505.5
2000-04-04,255.75,5.81,100.1,57.21,538.5
2000-05-04,265.5,6.53,96.85,56.8,561.0
2000-07-04,245.5,8.5,84.85,50.88,468.5
2000-08-04,237.0,10.8,85.6,58.6,437.0
2000-09-04,250.25,10.82,75.0,63.49,492.75
2000-10-04,267.25,10.0,79.35,63.4,486.25
2000-12-04,262.0,9.86,67.3,64.65,504.5
2000-01-05,249.75,5.81,118.6,51.56,469.25
2000-04-05,256.25,6.02,101.8,56.4,543.0
2000-05-05,261.75,6.59,96.85,58.4,555.0
2000-06-05,266.0,8.0,93.35,58.67,529.25
2000-07-05,248.0,8.69,85.4,50.65,472.5
2000-09-05,253.0,10.43,73.1,64.54,502.0
2000-10-05,267.25,10.03,78.7,63.6,485.0
