Date,Year,Month,Commodity,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Total_Arrivals_MT,Markets_Reported
2021-01-01,2021,January,Cotton,5346.87,5725.3,5552.88,9344.0,26
2021-01-02,2021,January,Cotton,5388.99,5679.34,5544.25,2220.0,12
2021-01-03,2021,January,Cotton,5388.79,5542.33,5473.75,281.0,5
2021-01-04,2021,January,Cotton,5391.18,5727.05,5595.69,5981.0,26
2021-01-05,2021,January,Cotton,5396.17,5733.17,5549.85,4713.0,22
2021-01-06,2021,January,Cotton,5598.9,5705.85,5666.09,1011.0,4
2021-01-07,2021,January,Cotton,5607.85,5725.0,5700.0,433.0,2
2021-01-08,2021,January,Cotton,5636.0,5725.0,5706.76,525.0,3
2021-01-09,2021,January,Cotton,5098.31,5623.31,5361.86,118.0,3
2021-01-10,2021,January,Cotton,4894.39,5537.24,5231.73,98.0,3
2021-01-11,2021,January,Cotton,5500.0,5700.0,5600.0,26.0,1
2021-01-12,2021,January,Cotton,5506.77,5719.14,5517.76,842.0,3
2021-01-13,2021,January,Cotton,5412.89,5756.72,5592.7,3137.0,22
2021-01-14,2021,January,Cotton,5413.65,5799.55,5612.23,4061.0,22
2021-01-15,2021,January,Cotton,5450.66,5805.42,5629.27,2459.0,21
2021-01-16,2021,January,Cotton,5392.38,5795.73,5602.56,1949.0,18
2021-01-17,2021,January,Cotton,5475.23,5761.1,5623.91,386.0,7
2021-01-18,2021,January,Cotton,5403.97,5768.46,5590.48,5896.0,30
2021-01-19,2021,January,Cotton,5410.55,5791.72,5609.84,5643.0,37
2021-01-20,2021,January,Cotton,5383.01,5746.61,5579.36,5708.0,35
2021-01-21,2021,January,Cotton,5387.67,5761.01,5594.33,4845.0,33
2021-01-22,2021,January,Cotton,5416.7,5811.52,5642.99,4029.0,27
2021-01-23,2021,January,Cotton,5359.08,5865.83,5626.78,2232.0,18
2021-01-24,2021,January,Cotton,5441.8,5777.6,5597.1,518.0,9
2021-01-25,2021,January,Cotton,5400.38,5857.65,5639.34,4596.0,27
2021-01-26,2021,January,Cotton,5430.96,5741.3,5584.99,386.0,7
