Date,Total_Arrivals_MT,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Markets_Reported
2021-01-01,0.09,12300.0,12400.0,12400.0,1
2021-01-02,0.09,12300.0,12400.0,12400.0,1
2021-01-04,0.07,11900.0,12000.0,12000.0,1
2021-01-05,1.67,8402.99,9604.79,9005.99,3
2021-01-06,2.3,6748.7,8537.39,7645.0,3
2021-01-07,0.19,8452.63,8552.63,8521.05,2
2021-01-08,4.19,10167.78,11124.58,10647.26,3
2021-01-09,4.2,10169.05,11123.81,10647.62,3
2021-01-11,3.08,6724.68,8675.32,7701.3,2
2021-01-12,2.08,6784.62,8711.54,7750.0,2
2021-01-13,2.21,6720.36,8558.82,7641.18,3
2021-01-14,0.57,11024.56,11036.84,11036.84,2
2021-01-15,3.4,13181.18,13657.65,13279.26,3
2021-01-16,4.46,9908.07,10819.51,10364.57,4
2021-01-18,3.4,6696.47,8472.94,7585.88,3
2021-01-19,2.88,6708.33,8100.0,7405.56,3
2021-01-20,4.2,7321.43,8764.29,8044.05,4
2021-01-21,0.97,7030.93,7130.93,7087.11,2
2021-01-22,1.75,6828.57,6928.57,6882.86,2
2021-01-23,1.18,6400.0,6500.0,6450.0,1
2021-01-25,3.85,6689.61,8289.09,7490.91,3
2021-01-26,1.34,8333.58,8508.21,8424.25,3
2021-01-27,4.01,6636.66,8181.05,7409.98,3
2021-01-28,5.95,7392.44,9103.36,8248.74,3
2021-01-29,3.93,6572.26,7730.79,7153.18,3
2021-01-30,6.23,8787.96,10310.11,9668.06,3
2021-01-31,1.88,6200.0,6400.0,6300.0,1
2021-02-01,4.55,6625.27,7978.02,7303.3,3
2021-02-02,5.36,7136.57,8288.81,7714.55,4
2021-02-03,3.18,6843.4,8735.85,7792.45,2
2021-02-04,1.17,7224.79,8948.72,8094.02,2
2021-02-05,4.96,7270.97,7395.16,7334.68,4
2021-02-06,3.45,6663.48,7827.83,7248.12,3
2021-02-07,3.0,6600.0,8600.0,7600.0,1
2021-02-08,0.17,10900.0,11000.0,11000.0,1
2021-02-09,0.17,10900.0,11000.0,11000.0,1
2021-02-10,8.08,6036.76,7547.65,6793.63,3
2021-02-11,4.82,7141.91,8414.11,7780.08,4
2021-02-12,4.56,6669.3,8004.39,7331.58,3
2021-02-13,1.4,6871.43,6885.71,6885.71,2
2021-02-14,0.2,10900.0,11000.0,11000.0,1
2021-02-15,5.36,6599.25,7722.39,7162.69,3
2021-02-16,6.86,6511.95,7442.86,6978.86,3
2021-02-17,3.65,6813.7,7963.01,7396.58,3
2021-02-18,6.2,7053.23,8069.35,7566.13,4
2021-02-19,1.82,6948.35,7041.76,7003.3,3
2021-02-20,2.67,6877.9,7689.51,7289.33,3
2021-02-22,8.0,9108.75,9886.25,9499.38,4
2021-02-23,4.55,6912.09,8264.84,7591.76,3
2021-02-24,3.9,7615.38,9161.54,8392.31,3
2021-02-25,9.33,6026.15,7348.02,6688.96,3
2021-02-26,6.54,5909.33,7755.35,6835.02,3
2021-02-27,4.9,6867.35,8161.22,7518.37,3
2021-02-28,1.8,7677.78,7750.0,7713.89,2
2021-03-01,7.6,6743.42,8334.87,7545.39,3
2021-03-02,1.5,7113.33,7213.33,7170.0,2
2021-03-03,7.25,6644.83,8055.17,7365.52,3
2021-03-04,6.3,6057.14,7966.67,7014.29,2
2021-03-05,5.28,6849.24,8748.48,7801.52,2
2021-03-06,7.08,6444.07,7877.4,7171.19,4
2021-03-07,1.0,6300.0,6400.0,6400.0,1
2021-03-08,6.45,7182.17,8746.51,7971.32,3
2021-03-09,11.28,6025.8,7806.21,6919.68,3
2021-03-10,4.48,7075.0,8422.77,7753.12,3
2021-03-11,1.4,7700.0,7800.0,7800.0,2
2021-03-12,3.6,7011.11,8166.67,7611.11,3
2021-03-13,3.4,7141.18,8917.65,8035.29,2
2021-03-15,3.38,6969.23,7601.78,7305.92,3
2021-03-16,8.48,7108.61,8307.08,7717.45,4
2021-03-17,5.32,6901.69,8055.26,7491.35,3
2021-03-18,2.1,7519.05,7580.95,7580.95,2
2021-03-19,8.05,6870.19,8377.02,7631.68,3
2021-03-20,5.95,7337.82,8371.43,7867.23,4
2021-03-22,5.15,7018.45,8209.71,7627.18,3
2021-03-23,5.45,6971.56,8814.68,7897.25,2
2021-03-24,2.45,7426.53,9077.55,8261.22,2
2021-03-25,7.95,6791.82,8055.35,7426.42,3
2021-03-26,5.5,6936.36,8072.73,7509.09,3
2021-03-27,7.1,7330.99,9028.17,8183.1,3
2021-03-28,1.4,6400.0,6450.0,6450.0,1
2021-03-29,4.5,7055.56,8411.11,7744.44,3
2021-03-30,6.35,6876.38,8458.27,7670.87,3
2021-03-31,7.5,6860.0,8466.67,7666.67,3
2021-04-01,2.5,6740.0,8360.0,7560.0,2
2021-04-02,6.95,7369.06,9100.72,8237.41,3
2021-04-03,3.35,7049.25,8850.75,7955.22,2
2021-04-04,3.0,6600.0,8600.0,7600.0,1
2021-04-05,4.35,6900.0,8287.36,7597.7,3
2021-04-06,1.2,7487.5,7550.0,7550.0,2
2021-04-07,3.2,6946.88,8206.25,7581.25,3
2021-04-08,2.25,7055.56,8844.44,7955.56,2
2021-04-09,2.25,7144.44,8933.33,8044.44,2
2021-04-10,3.1,11209.68,11209.68,11209.68,2
2021-04-12,4.3,6979.07,8381.4,7683.72,3
2021-04-13,3.3,6881.82,8133.33,7527.27,3
2021-04-14,8.5,8848.24,9257.65,9220.0,3
2021-04-15,4.3,6816.28,8241.86,7544.19,3
2021-04-16,3.8,6647.37,8234.21,7444.74,3
2021-04-17,3.75,6785.33,7858.67,7325.33,4
2021-04-18,3.0,4366.67,5033.33,4700.0,2
2021-04-19,5.2,6294.23,7846.15,7076.92,3
2021-04-20,3.25,5915.38,7153.85,6538.46,3
2021-04-21,5.3,6832.08,8724.53,7781.13,2
2021-04-22,3.75,7466.67,9073.33,8273.33,3
2021-04-23,4.28,6243.93,7652.34,6951.4,3
2021-04-24,2.18,5777.06,6707.34,6248.62,3
2021-04-25,1.0,3300.0,3300.0,3300.0,1
2021-04-26,3.28,6958.54,8796.34,7881.71,2
2021-04-27,3.35,6043.28,7247.76,6650.75,3
2021-04-28,1.35,5218.52,5244.44,5244.44,2
2021-04-29,4.35,6171.26,7558.62,6868.97,3
2021-04-30,4.35,6198.85,7586.21,6896.55,3
2021-05-01,3.35,7049.25,8850.75,7955.22,2
2021-05-03,3.35,7049.25,8850.75,7955.22,2
2021-05-04,2.75,7970.91,9438.18,8710.91,3
2021-05-05,3.35,7080.6,8882.09,7986.57,2
2021-05-06,3.25,6953.85,8807.69,7884.62,2
2021-05-07,3.15,6809.52,8719.05,7766.67,2
2021-05-08,0.15,11000.0,11100.0,11100.0,1
2021-05-10,2.1,6809.52,8719.05,7766.67,2
2021-05-11,0.05,11000.0,11100.0,11100.0,1
2021-05-12,0.03,11000.0,11100.0,11100.0,1
2021-05-13,2.03,6665.02,8636.95,7651.72,2
2021-05-14,0.03,11000.0,11100.0,11100.0,1
2021-05-15,0.03,11000.0,11100.0,11100.0,1
2021-05-17,0.02,11000.0,11100.0,11100.0,1
2021-05-18,0.02,11000.0,11100.0,11100.0,1
2021-05-19,0.03,11000.0,11100.0,11100.0,1
2021-05-20,0.03,11100.0,11200.0,11200.0,1
2021-05-21,0.02,11100.0,11200.0,11200.0,1
2021-05-22,0.02,11100.0,11200.0,11200.0,1
2021-05-24,0.02,11200.0,11300.0,11300.0,1
2021-05-25,0.01,11200.0,11300.0,11300.0,1
2021-05-26,0.02,11200.0,11300.0,11300.0,1
2021-05-27,0.01,11300.0,11400.0,11400.0,1
2021-05-28,0.01,11300.0,11400.0,11400.0,1
2021-05-29,0.02,11300.0,11400.0,11400.0,1
2021-05-31,0.02,11300.0,11400.0,11400.0,1
2021-06-01,0.02,11300.0,11400.0,11400.0,1
2021-06-02,0.01,11500.0,11600.0,11600.0,1
2021-06-03,0.02,11400.0,11500.0,11500.0,1
2021-06-04,0.02,11400.0,11500.0,11500.0,1
2021-06-05,0.02,11400.0,11500.0,11500.0,1
2021-06-07,2.01,6623.38,8613.93,7618.91,2
2021-06-08,3.01,6615.61,8609.3,7612.62,2
2021-06-09,0.02,11300.0,11400.0,11400.0,1
2021-06-10,0.01,11200.0,11300.0,11300.0,1
2021-06-11,0.02,11300.0,11400.0,11400.0,1
2021-06-12,0.02,11300.0,11400.0,11400.0,1
2021-06-14,0.61,6685.25,8654.1,7670.49,2
2021-06-15,2.03,6678.33,8650.25,7665.02,2
2021-06-16,2.03,6678.33,8650.25,7665.02,2
2021-06-17,1.02,6705.88,8668.63,7688.24,2
2021-06-18,20.01,6602.65,8601.7,7602.2,2
2021-06-19,2.01,6626.37,8616.92,7621.89,2
2021-06-21,2.01,6626.37,8616.92,7621.89,2
2021-06-22,3.02,6635.76,8623.18,7629.8,2
2021-06-23,2.03,5891.63,7863.55,6878.33,2
2021-06-24,2.03,5891.63,6090.15,5991.63,2
2021-06-25,2.03,6679.8,8651.72,7666.5,2
2021-06-26,3.03,6653.47,8634.65,7644.55,2
2021-06-27,3.0,6600.0,8600.0,7600.0,1
2021-06-28,0.03,12200.0,12300.0,12300.0,1
2021-06-29,3.03,5863.37,7844.55,6854.46,2
2021-06-30,2.03,5799.01,7770.94,6785.71,2
2021-07-01,0.03,12500.0,12600.0,12600.0,1
2021-07-02,0.03,12500.0,12600.0,12600.0,1
2021-07-03,2.03,6687.19,8659.11,7673.89,2
2021-07-05,0.03,12600.0,12700.0,12700.0,1
2021-07-06,5.03,6635.79,8624.45,7630.42,2
2021-07-07,3.03,6659.41,8640.59,7650.5,2
2021-07-08,1.03,6777.67,8722.33,7751.46,2
2021-07-09,3.03,6660.4,8641.58,7651.49,2
2021-07-10,3.0,6700.0,8700.0,7700.0,1
2021-07-12,2.03,6691.63,8663.55,7678.33,2
