Date,Total_Arrivals_MT,Weighted_Min_Price,Weighted_Modal_Price,Weighted_Max_Price,Markets_Reported
2021-01-01,6212.0,3711.55,4140.76,4461.88,71.0
2021-01-02,9245.0,3666.6,4105.05,4373.89,72.0
2021-01-03,787.0,4087.57,4222.87,4288.91,9.0
2021-01-04,10292.0,3756.14,4260.4,4569.69,82.0
2021-01-05,9476.0,3802.85,4269.38,4507.76,69.0
2021-01-06,1285.0,3656.72,4208.79,4420.54,15.0
2021-01-09,159.0,3712.79,4073.67,4376.3,9.0
2021-01-11,20.0,4101.0,4101.0,4101.0,1.0
2021-01-12,345.0,3707.54,4155.43,4431.52,6.0
2021-01-13,1170.0,3723.1,4155.82,4489.92,21.0
2021-01-14,2639.0,3654.79,4130.31,4399.3,38.0
2021-01-15,2043.0,3825.45,4343.44,4765.37,31.0
2021-01-16,6510.0,3602.38,4283.23,4551.2,58.0
2021-01-17,751.0,4220.01,4366.15,4415.17,9.0
2021-01-18,7126.0,3810.7,4252.3,4525.01,73.0
2021-01-19,7547.0,3825.55,4193.87,4465.49,73.0
2021-01-20,6513.0,3644.21,4129.38,4393.31,72.0
2021-01-21,7836.0,3175.22,3593.66,3812.86,80.0
2021-01-22,5855.0,3836.47,4192.63,4411.89,72.0
2021-01-23,5475.0,3831.24,4215.88,4487.14,57.0
2021-01-24,504.0,4103.04,4213.79,4280.86,9.0
2021-01-25,4329.0,3690.57,4117.27,4330.7,65.0
2021-01-26,75.0,3980.0,4089.33,4198.67,4.0
2021-01-27,5470.0,3704.69,4159.0,4394.63,75.0
2021-01-28,6305.0,3706.53,4178.5,4446.04,66.0
2021-01-29,5191.0,3647.13,4184.49,4470.85,59.0
2021-01-30,5254.0,3714.2,4276.96,4548.81,56.0
2021-01-31,839.0,4185.37,4291.37,4383.82,12.0
2021-02-01,6677.0,3184.58,3623.88,3794.93,74.0
2021-02-02,6381.0,3754.65,4273.36,4495.78,75.0
2021-02-03,6611.0,3856.26,4322.48,4529.59,69.0
2021-02-04,6915.0,3972.84,4318.27,4518.39,76.0
2021-02-05,5397.0,3973.43,4391.66,4599.15,60.0
2021-02-06,1337.0,4111.43,4433.36,4561.03,19.0
