Date,Total_Arrivals_MT,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Markets_Reported
2021-01-01,843.0,1707.78,2490.62,2094.37,74.0
2021-01-02,915.0,1730.46,2827.27,2288.28,62.0
2021-01-03,69.0,1477.19,1821.77,1591.33,11.0
2021-01-04,1078.0,1763.64,2872.49,2311.38,66.0
2021-01-05,1336.0,1856.53,3468.12,2685.35,49.0
2021-01-06,539.0,1985.42,4192.93,3091.55,13.0
2021-01-07,14.0,1527.21,1618.86,1563.14,4.0
2021-01-08,11.0,1525.45,1702.73,1599.09,4.0
2021-01-09,67.0,1659.7,2040.52,1858.58,6.0
2021-01-10,58.0,1638.79,1868.1,1715.17,4.0
2021-01-11,1123.0,1983.53,4434.06,3208.68,11.0
2021-01-12,69.0,1540.17,1825.68,1724.78,11.0
2021-01-13,174.0,1541.04,1837.03,1673.44,24.0
2021-01-14,722.0,1837.86,3207.51,2539.62,43.0
2021-01-15,742.0,1883.85,3575.24,2743.09,33.0
2021-01-16,1008.0,1805.46,2915.0,2356.84,63.0
2021-01-17,156.0,1588.17,1870.81,1713.03,13.0
2021-01-18,1414.0,1804.67,2801.71,2304.74,78.0
2021-01-19,1487.0,1821.57,3182.02,2527.74,76.0
2021-01-20,1340.0,1771.09,2643.69,2200.71,76.0
2021-01-21,1415.0,1786.95,2611.24,2182.45,78.0
2021-01-22,1441.0,1809.55,2834.07,2311.47,74.0
2021-01-23,1550.0,1819.92,2945.03,2363.81,66.0
2021-01-24,180.0,1674.12,1816.15,1743.97,10.0
2021-01-25,1747.0,1760.65,2618.43,2199.04,85.0
2021-01-26,65.0,1629.54,1736.31,1700.62,4.0
2021-01-27,2487.0,1809.46,3031.44,2437.33,83.0
2021-01-28,1942.0,1742.85,2759.07,2248.83,80.0
2021-01-29,1537.0,1723.94,2420.79,2074.8,74.0
2021-01-30,1477.0,1775.5,2740.57,2267.22,60.0
2021-01-31,209.0,1685.95,1842.87,1749.37,16.0
2021-02-01,1685.0,1735.55,2647.28,2200.89,82.0
2021-02-02,1729.0,1794.61,2803.56,2286.0,71.0
2021-02-03,1585.0,1730.78,2729.03,2237.33,72.0
2021-02-04,1358.0,1782.34,2552.82,2168.81,77.0
2021-02-05,1414.0,1824.15,2941.01,2368.31,62.0
2021-02-06,315.0,1697.77,1938.98,1838.28,30.0
2021-02-07,96.0,1594.23,1776.15,1663.35,9.0
2021-02-08,428.0,1577.68,1897.82,1728.22,33.0
2021-02-09,2053.0,1852.81,3144.54,2498.4,74.0
2021-02-10,1917.0,1352.17,1954.18,1655.92,79.0
2021-02-11,1293.0,1902.95,2957.14,2434.77,58.0
2021-02-12,1830.0,1802.48,2646.28,2217.2,72.0
2021-02-13,1376.0,2009.19,2906.57,2437.3,60.0
2021-02-14,205.0,1562.34,1715.56,1646.65,11.0
2021-02-15,2013.0,1747.48,2437.94,2106.35,80.0
2021-02-16,2519.0,1871.68,3019.86,2456.36,70.0
2021-02-17,2313.0,1692.22,2384.77,2062.61,73.0
2021-02-18,2766.0,1645.47,2221.04,1949.99,78.0
2021-02-19,148.0,1614.08,1768.2,1688.14,14.0
2021-02-20,2282.0,1784.45,2742.0,2284.38,60.0
2021-02-21,149.0,1572.05,1700.76,1669.8,9.0
2021-02-22,3110.0,1651.11,2485.46,2089.57,77.0
