Date,Weighted_Avg_Modal_Price,Total_Arrivals,Markets
01-01-2021,1296.750514857311,3399.0,40
02-01-2021,1313.0051880674448,2313.0,30
03-01-2021,1399.679012345679,81.0,6
04-01-2021,1285.3588879528222,4748.0,46
05-01-2021,1303.0612629594723,2122.0,30
06-01-2021,1312.9915254237287,118.0,8
07-01-2021,1679.375,128.0,2
08-01-2021,1225.0,8.0,3
09-01-2021,1349.789029535865,474.0,2
10-01-2021,1400.0,25.0,1
11-01-2021,1605.6186440677966,118.0,4
12-01-2021,1220.2666666666669,750.0,7
13-01-2021,1275.6586572438162,1415.0,17
14-01-2021,1295.8001378359752,1451.0,24
15-01-2021,1235.8423913043478,184.0,20
16-01-2021,1305.4455040871935,1468.0,28
17-01-2021,1215.75,320.0,5
18-01-2021,1273.2761835130689,5471.0,43
19-01-2021,1281.951585156058,4069.0,40
20-01-2021,1291.8465260974767,5786.0,42
21-01-2021,1295.551987281399,6290.0,54
22-01-2021,1343.86573816156,3590.0,38
23-01-2021,1334.803807106599,3940.0,36
24-01-2021,1400.5642701525055,459.0,8
25-01-2021,1309.5623901581723,7966.0,48
26-01-2021,1683.7662337662337,77.0,4
27-01-2021,1311.4754373687897,7145.0,41
28-01-2021,1316.7039140445129,6515.0,44
29-01-2021,1297.6047655068078,5288.0,44
30-01-2021,1349.7330279050395,2401.0,33
31-01-2021,1431.2930463576158,604.0,9
01-02-2021,1297.5443265599713,5561.0,46
02-02-2021,1287.1559048428207,4708.0,36
03-02-2021,1279.420854945448,5591.0,38
04-02-2021,1273.6916347731,3658.0,42
05-02-2021,1269.960011936735,3351.0,37
06-02-2021,1284.3395707209686,1817.0,15
07-02-2021,1245.6521739130435,23.0,3
08-02-2021,1276.504226173127,3431.0,25
09-02-2021,1255.6060862214708,3549.0,46
10-02-2021,1289.804030761071,3771.0,40
11-02-2021,1276.932831136221,1593.0,37
12-02-2021,1290.2420470262794,3615.0,44
13-02-2021,1306.870731707317,1640.0,26
14-02-2021,1244.4600938967135,213.0,5
15-02-2021,1310.920200462606,2594.0,42
16-02-2021,1291.7804182509506,2104.0,39
17-02-2021,1326.2735813603908,2661.0,36
18-02-2021,1323.4276910435497,2434.0,40
19-02-2021,1174.514598540146,274.0,12
20-02-2021,1365.6615252784918,1167.0,27
21-02-2021,1286.0759493670887,79.0,3
22-02-2021,1488.5226130653266,2587.0,42
23-02-2021,1384.12661039538,2251.0,33
24-02-2021,1372.4561403508771,2223.0,35
25-02-2021,1416.5222627737226,2740.0,39
26-02-2021,1410.431793179318,1818.0,33
27-02-2021,1408.6274678111588,1165.0,21
28-02-2021,1340.2325581395348,129.0,6
01-03-2021,1421.7985581000848,2358.0,42
