Date,Year,Month,Commodity,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Total_Arrivals_MT,Markets_Reported
01/01/2021,2021,January,Onion,861.56,2995.3,2172.17,9531.0,35
02/01/2021,2021,February,Onion,1061.63,3789.8,3046.76,18349.0,44
03/01/2021,2021,March,Onion,890.65,2924.66,2293.75,18052.0,40
04/01/2021,2021,April,Onion,527.88,1298.73,896.13,11364.0,28
05/01/2021,2021,May,Onion,336.59,1094.03,755.43,129.0,6
06/01/2021,2021,June,Onion,597.08,2147.16,1597.04,26921.0,40
07/01/2021,2021,July,Onion,640.44,2112.18,1605.06,20094.0,40
08/01/2021,2021,August,Onion,573.95,2028.06,1358.03,6196.0,24
09/01/2021,2021,September,Onion,605.0,1702.96,1402.22,15384.0,40
10/01/2021,2021,October,Onion,836.43,2931.11,2243.98,21852.0,43
11/01/2021,2021,November,Onion,747.69,3406.73,1947.9,7749.0,26
12/01/2021,2021,December,Onion,598.53,2253.33,1542.31,17912.0,42
01/02/2021,2021,January,Onion,1000.77,2935.62,2263.7,13717.0,35
02/02/2021,2021,February,Onion,1025.34,3738.99,3013.14,15143.0,39
03/02/2021,2021,March,Onion,1042.08,2939.17,2303.12,13772.0,43
04/02/2021,2021,April,Onion,372.78,1159.57,843.65,4719.0,22
05/02/2021,2021,May,Onion,346.7,1391.1,879.77,2044.0,9
06/02/2021,2021,June,Onion,631.3,2145.28,1636.23,29779.0,47
07/02/2021,2021,July,Onion,573.41,2094.07,1558.56,21660.0,46
08/02/2021,2021,August,Onion,595.65,1872.6,1511.71,33804.0,41
09/02/2021,2021,September,Onion,636.96,1785.49,1454.43,23875.0,47
10/02/2021,2021,October,Onion,1021.91,2827.68,2165.91,10763.0,24
11/02/2021,2021,November,Onion,1076.67,2839.68,1984.13,2713.0,19
12/02/2021,2021,December,Onion,691.12,2583.96,1868.87,8935.0,50
01/03/2021,2021,January,Onion,912.99,2742.65,2137.84,3940.0,16
02/03/2021,2021,February,Onion,1085.91,3864.89,3088.32,18615.0,40
03/03/2021,2021,March,Onion,918.81,2786.84,2178.37,18668.0,41
04/03/2021,2021,April,Onion,479.62,1228.12,860.85,15209.0,29
05/03/2021,2021,May,Onion,461.43,1429.71,1040.35,35943.0,45
06/03/2021,2021,June,Onion,665.92,2174.14,1640.28,31502.0,56
07/03/2021,2021,July,Onion,677.6,2118.77,1638.65,9599.0,32
08/03/2021,2021,August,Onion,503.89,1898.15,1450.94,21980.0,44
09/03/2021,2021,September,Onion,468.52,1724.15,1306.23,23959.0,44
10/03/2021,2021,October,Onion,1013.67,3226.52,2225.27,5785.0,21
11/03/2021,2021,November,Onion,1263.68,2877.08,2071.29,1846.0,14
12/03/2021,2021,December,Onion,729.35,3116.3,2074.36,10517.0,47
01/04/2021,2021,January,Onion,862.74,3014.0,2352.14,19907.0,36
02/04/2021,2021,February,Onion,1037.41,3728.81,2896.02,14694.0,43
03/04/2021,2021,March,Onion,796.04,2497.44,1873.31,18778.0,47
04/04/2021,2021,April,Onion,458.41,1183.3,837.06,4533.0,21
05/04/2021,2021,May,Onion,472.86,1333.94,984.6,33710.0,50
06/04/2021,2021,June,Onion,675.8,2178.97,1650.42,32014.0,47
07/04/2021,2021,July,Onion,761.56,2013.91,1506.75,4307.0,23
08/04/2021,2021,August,Onion,617.34,1847.24,1510.49,19577.0,40
09/04/2021,2021,September,Onion,518.34,1815.3,1385.69,10299.0,31
10/04/2021,2021,October,Onion,1016.78,3693.04,2940.39,29945.0,47
11/04/2021,2021,November,Onion,1125.71,2853.35,1997.92,984.0,7
12/04/2021,2021,December,Onion,951.59,2841.16,2099.56,6713.0,30
01/05/2021,2021,January,Onion,944.44,2932.46,2197.32,17886.0,38
02/05/2021,2021,February,Onion,1098.71,3609.45,2844.01,19798.0,39
03/05/2021,2021,March,Onion,694.2,2233.28,1676.45,20890.0,38
