Arrival Date,Year,Month,Commodity,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Total_Arrivals_MT,Markets_Reported
2021-01-01,2021,January,Sugar,3162.0,3442.0,3222.0,186.0,1
2021-01-02,2021,January,Sugar,3170.0,3442.0,3222.0,96.0,1
2021-01-05,2021,January,Sugar,3152.0,3442.0,3242.0,96.0,1
2021-01-06,2021,January,Sugar,3152.0,3442.0,3242.0,91.0,1
2021-01-14,2021,January,Sugar,3160.0,3442.0,3222.0,220.0,1
2021-01-15,2021,January,Sugar,3160.0,3412.0,3222.0,22.0,1
2021-01-16,2021,January,Sugar,3160.0,3430.0,3212.0,230.0,1
2021-01-18,2021,January,Sugar,3160.0,3430.0,3212.0,56.0,1
2021-01-19,2021,January,Sugar,3122.0,3422.0,3202.0,223.0,1
2021-01-20,2021,January,Sugar,3122.0,3432.0,3202.0,107.0,1
2021-01-21,2021,January,Sugar,3122.0,3432.0,3202.0,155.0,1
2021-01-23,2021,January,Sugar,3122.0,3422.0,3222.0,50.0,1
2021-01-25,2021,January,Sugar,3130.0,3422.0,3222.0,50.0,1
2021-01-27,2021,January,Sugar,3126.0,3422.0,3212.0,25.0,1
2021-01-28,2021,January,Sugar,3126.0,3422.0,3212.0,237.0,1
2021-01-29,2021,January,Sugar,3122.0,3422.0,3222.0,121.0,1
2021-01-30,2021,January,Sugar,3142.0,3422.0,3222.0,275.0,1
2021-02-01,2021,February,Sugar,3142.0,3422.0,3222.0,83.0,1
2021-02-02,2021,February,Sugar,3142.0,3422.0,3222.0,283.0,1
2021-02-03,2021,February,Sugar,3162.0,3392.0,3222.0,127.0,1
2021-02-04,2021,February,Sugar,3160.0,3392.0,3222.0,280.0,1
2021-02-05,2021,February,Sugar,3160.0,3392.0,3242.0,145.0,1
2021-02-09,2021,February,Sugar,3160.0,3392.0,3242.0,225.0,1
2021-02-10,2021,February,Sugar,3160.0,3352.0,3222.0,235.0,1
2021-02-11,2021,February,Sugar,3160.0,3352.0,3222.0,255.0,1
2021-02-12,2021,February,Sugar,3160.0,3352.0,3222.0,248.0,1
2021-02-13,2021,February,Sugar,3172.0,3352.0,3222.0,230.0,1
2021-02-15,2021,February,Sugar,3172.0,3352.0,3222.0,30.0,1
2021-02-16,2021,February,Sugar,3160.0,3352.0,3202.0,175.0,1
2021-02-17,2021,February,Sugar,3160.0,3352.0,3202.0,184.0,1
2021-02-18,2021,February,Sugar,3162.0,3362.0,3222.0,311.0,1
2021-02-20,2021,February,Sugar,3160.0,3362.0,3222.0,43.0,1
2021-02-22,2021,February,Sugar,3160.0,3362.0,3222.0,55.0,1
2021-02-23,2021,February,Sugar,3162.0,3362.0,3222.0,131.0,1
2021-02-24,2021,February,Sugar,3162.0,3362.0,3222.0,119.0,1
2021-02-25,2021,February,Sugar,3162.0,3362.0,3222.0,253.0,1
2021-02-26,2021,February,Sugar,3162.0,3362.0,3222.0,248.0,1
2021-03-01,2021,March,Sugar,3162.0,3372.0,3222.0,2.0,1
2021-03-02,2021,March,Sugar,3162.0,3372.0,3222.0,260.0,1
2021-03-03,2021,March,Sugar,3162.0,3372.0,3222.0,130.0,1
2021-03-04,2021,March,Sugar,3162.0,3372.0,3222.0,234.0,1
2021-03-05,2021,March,Sugar,3162.0,3362.0,3222.0,221.0,1
2021-03-06,2021,March,Sugar,3162.0,3362.0,3222.0,170.0,1
2021-03-08,2021,March,Sugar,3182.0,3362.0,3222.0,31.0,1
2021-03-09,2021,March,Sugar,3182.0,3362.0,3222.0,131.0,1
2021-03-10,2021,March,Sugar,3182.0,3362.0,3222.0,20.0,1
2021-03-12,2021,March,Sugar,3180.0,3362.0,3222.0,109.0,1
2021-03-13,2021,March,Sugar,3180.0,3362.0,3222.0,82.0,1
