Date,Year,Month,Commodity,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Total_Arrivals_MT,Markets_Reported
2021-01-01,2021,January,Turmeric,4872.48,6078.4,5552.85,216.0,5
2021-01-02,2021,January,Turmeric,5920.0,8016.67,6906.67,12.0,2
2021-01-03,2021,January,Turmeric,5000.0,5300.0,5200.0,4.0,1
2021-01-04,2021,January,Turmeric,5024.76,6209.44,5614.35,265.0,5
2021-01-05,2021,January,Turmeric,5656.52,6643.48,6250.83,23.0,3
2021-01-06,2021,January,Turmeric,5473.57,6769.78,6019.56,227.0,3
2021-01-07,2021,January,Turmeric,4800.0,5870.0,5510.0,14.0,1
2021-01-08,2021,January,Turmeric,5247.71,6826.67,5798.24,153.0,3
2021-01-12,2021,January,Turmeric,4750.0,6600.0,5950.0,68.0,1
2021-01-13,2021,January,Turmeric,5455.72,6617.83,5853.98,141.0,2
2021-01-14,2021,January,Turmeric,4900.0,7495.0,6345.0,111.0,1
2021-01-15,2021,January,Turmeric,6527.78,9102.78,7416.67,18.0,2
2021-01-16,2021,January,Turmeric,8000.0,13000.0,10000.0,8.0,1
2021-01-18,2021,January,Turmeric,5260.91,7491.51,6202.03,320.0,5
2021-01-19,2021,January,Turmeric,5175.32,7625.26,6594.51,77.0,3
2021-01-20,2021,January,Turmeric,4990.86,7262.36,6055.3,500.0,5
2021-01-21,2021,January,Turmeric,4710.05,6988.01,6389.84,93.0,2
2021-01-22,2021,January,Turmeric,5557.13,7157.33,6181.33,484.0,4
2021-01-23,2021,January,Turmeric,5772.73,7520.91,6614.55,55.0,2
2021-01-25,2021,January,Turmeric,5243.28,7735.01,6525.89,387.0,4
2021-01-27,2021,January,Turmeric,5429.96,7101.12,6411.48,277.0,4
2021-01-28,2021,January,Turmeric,8000.0,13000.0,10000.0,7.0,1
2021-01-29,2021,January,Turmeric,5676.61,9215.53,7453.29,295.0,4
2021-01-30,2021,January,Turmeric,5269.14,12765.43,8993.83,81.0,3
2021-02-01,2021,February,Turmeric,5819.87,9643.58,7571.84,395.0,5
2021-02-02,2021,February,Turmeric,5190.42,10624.31,7960.77,320.0,5
2021-02-03,2021,February,Turmeric,5756.12,8460.61,7184.03,313.0,6
