Date,Wheat,Sugar,Coffee,Cotton,Soybean,Maize,Onion,Turmeric
2021-01-01,2094.37,3222.0,12400.0,5552.88,4140.76,1296.750514857311,2172.17,5552.85
2021-02-01,2288.28,3222.0,12400.0,5544.25,4105.05,1313.0051880674448,3046.76,6906.67
2021-03-01,1591.33,,,5473.75,4222.87,1399.679012345679,2293.75,5200.0
2021-04-01,2311.38,,12000.0,5595.69,4260.4,1285.3588879528222,896.13,5614.35
2021-05-01,2685.35,3242.0,9005.99,5549.85,4269.38,1303.0612629594723,755.43,6250.83
2021-06-01,3091.55,3242.0,7645.0,5666.09,4208.79,1312.9915254237287,1597.04,6019.56
2021-07-01,1563.14,,8521.05,5700.0,,1679.375,1605.06,5510.0
2021-08-01,1599.09,,10647.26,5706.76,,1225.0,1358.03,5798.24
2021-09-01,1858.58,,10647.62,5361.86,4073.67,1349.789029535865,1402.22,
2021-10-01,1715.17,,,5231.73,,1400.0,2243.98,
2021-11-01,3208.68,,7701.3,5600.0,4101.0,1605.6186440677966,1947.9,
2021-12-01,1724.78,,7750.0,5517.76,4155.43,1220.2666666666669,1542.31,5950.0
2021-01-13,1673.44,,7641.18,5592.7,4155.82,1275.6586572438162,,5853.98
2021-01-14,2539.62,3222.0,11036.84,5612.23,4130.31,1295.8001378359752,,6345.0
2021-01-15,2743.09,3222.0,13279.26,5629.27,4343.44,1235.8423913043478,,7416.67
2021-01-16,2356.84,3212.0,10364.57,5602.56,4283.23,1305.4455040871935,,10000.0
2021-01-17,1713.03,,,5623.91,4366.15,1215.75,,
2021-01-18,2304.74,3212.0,7585.88,5590.48,4252.3,1273.2761835130689,,6202.03
2021-01-19,2527.74,3202.0,7405.56,5609.84,4193.87,1281.951585156058,,6594.51
2021-01-20,2200.71,3202.0,8044.05,5579.36,4129.38,1291.8465260974767,,6055.3
2021-01-21,2182.45,3202.0,7087.11,5594.33,3593.66,1295.551987281399,,6389.84
2021-01-22,2311.47,,6882.86,5642.99,4192.63,1343.86573816156,,6181.33
2021-01-23,2363.81,3222.0,6450.0,5626.78,4215.88,1334.803807106599,,6614.55
2021-01-24,1743.97,,,5597.1,4213.79,1400.5642701525055,,
2021-01-25,2199.04,3222.0,7490.91,5639.34,4117.27,1309.5623901581723,,6525.89
2021-01-26,1700.62,,8424.25,5584.99,4089.33,1683.7662337662337,,
2021-01-27,2437.33,3212.0,7409.98,5619.31,4159.0,1311.4754373687897,,6411.48
2021-01-28,2248.83,3212.0,8248.74,5592.47,4178.5,1316.7039140445129,,10000.0
2021-01-29,2074.8,3222.0,7153.18,5562.39,4184.49,1297.6047655068078,,7453.29
2021-01-30,2267.22,3222.0,9668.06,5610.35,4276.96,1349.7330279050395,,8993.83
2021-01-31,1749.37,,6300.0,5486.73,4291.37,1431.2930463576158,,
2021-01-02,2200.89,3222.0,7303.3,5572.56,3623.88,1297.5443265599713,2263.7,7571.84
2021-02-02,2286.0,3222.0,7714.55,5618.01,4273.36,1287.1559048428207,3013.14,7960.77
2021-03-02,2237.33,3222.0,7792.45,5641.09,4322.48,1279.420854945448,2303.12,7184.03
2021-04-02,2168.81,3222.0,8094.02,5633.09,4318.27,1273.6916347731,843.65,7274.14
2021-05-02,2368.31,3242.0,7334.68,5755.81,4391.66,1269.960011936735,879.77,7540.19
2021-06-02,1838.28,,7248.12,5525.24,4433.36,1284.3395707209686,1636.23,9398.23
2021-07-02,1663.35,,7600.0,5754.57,4475.56,1245.6521739130435,1558.56,
2021-08-02,1728.22,,11000.0,5790.07,4333.43,1276.504226173127,1511.71,7542.08
2021-09-02,2498.4,3242.0,11000.0,5699.22,4510.72,1255.6060862214708,1454.43,9194.98
2021-10-02,1655.92,3222.0,6793.63,5859.04,4492.89,1289.804030761071,2165.91,8853.77
2021-11-02,2434.77,3222.0,7780.08,5801.26,4317.11,1276.932831136221,1984.13,7790.91
2021-12-02,2217.2,3222.0,7331.58,5861.11,4489.16,1290.2420470262794,1868.87,9862.63
2021-02-13,2437.3,3222.0,6885.71,5837.18,4470.14,1306.870731707317,,10971.48
2021-02-14,1646.65,,11000.0,5786.1,4593.38,1244.4600938967135,,
2021-02-15,2106.35,3222.0,7162.69,5798.35,4490.04,1310.920200462606,,10063.53
2021-02-16,2456.36,3202.0,6978.86,5796.83,4674.66,1291.7804182509506,,11101.47
2021-02-17,2062.61,3202.0,7396.58,5742.95,4688.71,1326.2735813603908,,10523.11
2021-02-18,1949.99,3222.0,7566.13,5806.33,4707.18,1323.4276910435497,,9689.68
2021-02-19,1688.14,,7003.3,5775.92,4595.07,1174.514598540146,,
2021-02-20,2284.38,3222.0,7289.33,5891.24,4672.25,1365.6615252784918,,10648.99
2021-02-21,1669.8,,,5908.45,4574.1,1286.0759493670887,,
2021-02-22,2089.57,3222.0,9499.38,5978.48,4715.61,1488.5226130653266,,9349.54
2021-02-23,2137.25,3222.0,7591.76,5912.02,4807.94,1384.12661039538,,13797.74
2021-02-24,1950.34,3222.0,8392.31,5933.65,4817.15,1372.4561403508771,,15191.84
2021-02-25,1745.14,3222.0,6688.96,5971.13,4870.7,1416.5222627737226,,15897.24
2021-02-26,2001.48,3222.0,6835.02,5930.92,4788.59,1410.431793179318,,13049.71
2021-02-27,1822.98,,7518.37,5898.09,4857.2,1408.6274678111588,,13683.02
2021-02-28,1682.14,,7713.89,5904.16,4649.07,1340.2325581395348,,
2021-01-03,2013.85,3222.0,7545.39,5946.23,4842.85,1421.7985581000848,2137.84,14086.01
2021-02-03,2125.13,3222.0,7170.0,5873.27,4923.77,1401.852094901565,3088.32,18604.72
2021-03-03,1843.55,3222.0,7365.52,5932.15,4973.1,1442.9750135795764,2178.37,16350.22
2021-04-03,1973.14,3222.0,7014.29,5980.63,4913.89,1494.5218855218857,860.85,12574.13
2021-05-03,1989.51,3222.0,7801.52,5863.27,5090.33,1468.7515188335358,1040.35,12601.57
2021-06-03,2219.91,3222.0,7171.19,5936.92,4872.72,1449.9056420233462,1640.28,13049.81
2021-07-03,1711.81,,6400.0,5981.64,4948.39,1365.0442477876106,1638.65,
2021-08-03,1951.18,3222.0,7971.32,5926.24,4989.07,1439.876216216216,1450.94,15290.89
2021-09-03,2116.86,3222.0,6919.68,5868.77,4969.97,1413.436477007015,1306.23,12515.52
2021-10-03,1983.89,3222.0,7753.12,5838.79,4992.97,1410.8478818998717,2225.27,14167.26
2021-11-03,2146.46,,7800.0,5881.85,4778.05,1371.3057324840763,2071.29,
2021-12-03,1988.06,3222.0,7611.11,5796.84,5109.07,1412.146570397112,2074.36,12230.16
2021-03-13,2119.92,3222.0,8035.29,6090.12,5008.83,1631.664705882353,,12283.57
2021-03-14,1706.7,,,6021.23,4657.94,1387.0,,
2021-03-15,2039.39,3222.0,7305.92,5618.27,5118.49,1395.800332778702,,16564.71
2021-03-16,2489.6,3222.0,7717.45,6421.88,5221.62,1409.4290322580646,,14299.61
2021-03-17,1716.17,,7491.35,6222.55,,1352.162162162162,,8400.0
2021-03-18,1768.19,,7580.95,6275.8,,1290.9638009049777,,8525.9
2021-03-19,1672.35,,7631.68,5855.52,,1303.039660056657,,
2021-03-20,2216.14,3222.0,7867.23,5812.34,5230.59,1394.8045325779035,,12580.65
2021-03-21,1741.85,,,5862.09,5401.95,1360.0,,
2021-03-22,2051.48,3222.0,7627.18,5676.89,5246.09,1411.9308681672026,,9370.66
2021-03-23,1797.14,,7897.25,5601.85,5480.18,1349.4332688588008,,11877.89
2021-03-24,2265.87,3222.0,8261.22,5633.5,5332.49,1454.6985294117646,,10698.81
2021-03-25,1995.97,3220.0,7426.42,5646.14,5518.51,1387.8602305475504,,10475.29
2021-03-26,2022.42,,7509.09,5678.0,5417.58,1352.1980676328503,,10109.31
2021-03-27,2214.11,3222.0,8183.1,5709.08,5458.69,1493.2287390029326,,10135.0
2021-03-28,1784.25,,6450.0,6118.75,5400.0,1425.0,,
2021-03-29,1935.16,,7744.44,,4300.0,1457.5,,
2021-03-30,2624.83,3222.0,7670.87,5879.92,4970.21,1388.8478260869565,,6092.0
2021-03-31,2670.02,3202.0,7666.67,5628.85,5214.62,1345.3193277310925,,12670.17
2021-01-04,2191.0,3222.0,7560.0,5572.38,5584.39,1343.175084175084,2352.14,11350.0
2021-02-04,2796.66,3222.0,8237.41,5626.56,5810.48,1355.7,2896.02,11960.35
2021-03-04,2176.72,3213.0,7955.22,5544.85,5915.2,1299.031798245614,1873.31,9374.28
2021-04-04,1795.17,,7600.0,5696.67,6015.88,1424.5934959349593,837.06,
2021-05-04,2054.09,3213.0,7597.7,5720.1,5974.7,1409.6608846487425,984.6,7720.06
2021-06-04,2118.2,3252.0,7550.0,5613.76,6137.16,1385.3168202764978,1650.42,10540.37
2021-07-04,2301.85,3252.0,7581.25,5625.08,6264.93,1397.9038686987103,1506.75,10455.37
2021-08-04,2106.13,3252.0,7955.56,5596.79,6092.49,1377.3144611186904,1510.49,10938.85
2021-09-04,2315.16,3242.0,8044.44,5854.99,6244.65,1379.6789437109103,1385.69,9710.96
2021-10-04,3000.02,3242.0,11209.68,6057.38,6233.74,1542.5776397515529,2940.39,13000.0
2021-11-04,1688.14,,,5632.35,6393.85,1366.0,1997.92,
2021-12-04,2343.25,3242.0,7683.72,6025.45,6521.51,1387.8631705846897,2099.56,7754.55
2021-04-13,2919.58,,7527.27,5946.77,6914.39,1413.8257261410788,,8053.66
2021-04-14,3182.48,3262.0,9220.0,5901.79,5923.53,1526.057142857143,,6630.0
2021-04-15,2203.86,3262.0,7544.19,5533.58,6770.77,1430.637101811368,,10706.33
2021-04-16,2183.09,3282.0,7444.74,5650.08,6986.55,1436.4170681348933,,9645.56
2021-04-17,2380.03,3282.0,7325.33,5330.41,7037.2,1480.855789473684,,9376.79
2021-04-18,1726.19,,4700.0,6000.0,7424.33,1404.6511627906978,,
2021-04-19,2646.35,,7076.92,5587.81,7039.18,1477.436507936508,,7100.03
2021-04-20,2431.44,3282.0,6538.46,5582.93,7130.63,1483.0130813953488,,10335.92
2021-04-21,3139.03,3262.0,7781.13,5917.65,6256.25,1548.6387434554974,,6878.42
2021-04-22,2050.09,3262.0,8273.33,5643.84,7089.0,1527.068261376896,,9761.08
2021-04-23,2248.3,3262.0,6951.4,5588.78,7222.26,1514.2426390403489,,10153.48
2021-04-24,1859.62,,6248.62,5511.12,7271.26,1500.7434210526317,,7200.0
2021-04-25,2005.94,,3300.0,6000.0,6800.0,1459.357142857143,,
2021-04-26,2313.78,3262.0,7881.71,5493.43,6830.97,1504.6304464766004,,9062.0
2021-04-27,2257.45,3252.0,6650.75,5464.76,6447.92,1445.3367346938776,,8649.17
2021-04-28,1944.84,3252.0,5244.44,5526.07,6833.25,1466.592972181552,,7721.92
