commodity,year,month,total_news,average_sentiment,positive_news,negative_news,neutral_news,news_growth
Coffee,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
Coffee,2026,6,96.0,-0.1770833333333333,7.0,24.0,65.0,95.0
Cotton,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
Cotton,2026,6,95.0,-0.0105263157894736,11.0,12.0,72.0,94.0
Maize,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
Maize,2026,6,93.0,0.075268817204301,19.0,12.0,62.0,92.0
Onion,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
Onion,2026,6,92.0,0.0,6.0,6.0,80.0,91.0
Soybean,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
Soybean,2026,6,94.0,0.0638297872340425,30.0,24.0,40.0,93.0
Sugar,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
Sugar,2026,6,94.0,-0.0957446808510638,8.0,17.0,69.0,93.0
Turmeric,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
Turmeric,2026,6,98.0,0.1020408163265306,15.0,5.0,78.0,97.0
Wheat,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
Wheat,2026,6,96.0,-0.15625,14.0,29.0,53.0,95.0
