Date,commodity,price,price_change,price_pct_change,MA7,MA30
2021-01-01,Coffee,12400.0,,,,
2021-01-02,Coffee,7303.3,-5096.7,-0.41102419354838704,,
2021-01-03,Coffee,7545.39,242.09000000000015,0.03314802897320401,,
2021-01-04,Coffee,7560.0,14.609999999999673,0.0019362816236139224,,
2021-01-05,Coffee,7955.22,395.22000000000025,0.05227777777777787,,
2021-01-06,Coffee,11400.0,3444.7799999999997,0.4330213369334852,,
2021-01-07,Coffee,12600.0,1200.0,0.10526315789473695,9537.701428571429,
2021-01-09,Coffee,7682.76,-4917.24,-0.39025714285714286,8863.81,
2021-01-10,Coffee,7975.89,293.1300000000001,0.03815425706386777,8959.894285714285,
2021-01-11,Coffee,8805.7,829.8100000000004,0.10403979994709056,9139.93857142857,
2021-01-12,Coffee,7905.69,-900.0100000000011,-0.10220766094688682,9189.322857142857,
2021-01-13,Coffee,7641.18,-264.5099999999993,-0.03345818012090018,9144.460000000001,
2021-01-14,Coffee,11036.84,3395.66,0.444389479111865,9092.58,
2021-01-15,Coffee,13279.26,2242.42,0.20317590904643001,9189.617142857143,
2021-01-16,Coffee,10364.57,-2914.6900000000005,-0.21949189939800862,9572.732857142857,
2021-01-18,Coffee,7585.88,-2778.6899999999996,-0.26809505845394455,9517.017142857145,
2021-01-19,Coffee,7405.56,-180.3199999999997,-0.023770478836997122,9316.997142857143,
2021-01-20,Coffee,8044.05,638.4899999999998,0.08621765268257908,9336.762857142856,
2021-01-21,Coffee,7087.11,-956.9400000000005,-0.11896246293844526,9257.609999999999,
2021-01-22,Coffee,6882.86,-204.25,-0.028819928010147988,8664.184285714286,
2021-01-23,Coffee,6450.0,-432.8599999999997,-0.06288955463281243,7688.575714285714,
2021-01-25,Coffee,7490.91,1040.9099999999999,0.16138139534883722,7278.052857142857,
2021-01-26,Coffee,8424.25,933.3400000000001,0.1245963441023854,7397.820000000001,
2021-01-27,Coffee,7409.98,-1014.2700000000004,-0.12039884856218663,7398.4514285714295,
2021-01-28,Coffee,8248.74,838.7600000000002,0.11319328797108774,7427.692857142857,
2021-01-29,Coffee,7153.18,-1095.5599999999995,-0.1328154360544761,7437.131428571428,
2021-01-30,Coffee,9668.06,2514.879999999999,0.3515751036601902,7835.017142857142,
2021-01-31,Coffee,6300.0,-3368.0599999999995,-0.3483697866997102,7813.5885714285705,
2021-02-01,Coffee,12400.0,6100.0,0.9682539682539681,8514.887142857144,
2021-02-02,Coffee,7714.55,-4685.45,-0.37785887096774196,8413.50142857143,8657.364333333333
2021-02-03,Coffee,7170.0,-544.5500000000002,-0.07058739654289625,8379.218571428572,8483.030999999999
2021-02-04,Coffee,8237.41,1067.4099999999999,0.14887168758716873,8377.6,8514.168
2021-02-06,Coffee,11600.0,3362.59,0.40820961928567345,9012.86,8649.321666666667
2021-02-07,Coffee,12600.0,1000.0,0.0862068965517242,9431.708571428573,8817.321666666667
2021-02-08,Coffee,6937.57,-5662.43,-0.4493992063492064,9522.789999999999,8783.4
2021-02-09,Coffee,7673.68,736.1100000000006,0.10610487533819479,8847.60142857143,8659.189333333334
2021-02-10,Coffee,7859.88,186.19999999999982,0.02426475954170626,8868.362857142858,8501.185333333333
2021-02-11,Coffee,7672.31,-187.5699999999997,-0.023864232023898535,8940.121428571429,8500.837
2021-02-12,Coffee,7816.9,144.58999999999924,0.01884569314847795,8880.048571428571,8495.537333333334
2021-02-13,Coffee,6885.71,-931.1899999999996,-0.11912522867121234,8206.57857142857,8431.537666666667
2021-02-14,Coffee,11000.0,4114.29,0.5975113677456645,7978.007142857144,8534.681333333334
2021-02-15,Coffee,7162.69,-3837.3100000000004,-0.3488463636363637,8010.167142857143,8518.731666666667
