Date,commodity,price
2021-01-01,Wheat,2094.37
2021-02-01,Wheat,2288.28
2021-03-01,Wheat,1591.33
2021-04-01,Wheat,2311.38
2021-05-01,Wheat,2685.35
2021-06-01,Wheat,3091.55
2021-07-01,Wheat,1563.14
2021-08-01,Wheat,1599.09
2021-09-01,Wheat,1858.58
2021-10-01,Wheat,1715.17
2021-11-01,Wheat,3208.68
2021-12-01,Wheat,1724.78
2021-01-13,Wheat,1673.44
2021-01-14,Wheat,2539.62
2021-01-15,Wheat,2743.09
2021-01-16,Wheat,2356.84
2021-01-17,Wheat,1713.03
2021-01-18,Wheat,2304.74
2021-01-19,Wheat,2527.74
2021-01-20,Wheat,2200.71
2021-01-21,Wheat,2182.45
2021-01-22,Wheat,2311.47
2021-01-23,Wheat,2363.81
2021-01-24,Wheat,1743.97
2021-01-25,Wheat,2199.04
2021-01-26,Wheat,1700.62
2021-01-27,Wheat,2437.33
2021-01-28,Wheat,2248.83
2021-01-29,Wheat,2074.8
2021-01-30,Wheat,2267.22
2021-01-31,Wheat,1749.37
2021-01-02,Wheat,2200.89
2021-02-02,Wheat,2286.0
2021-03-02,Wheat,2237.33
2021-04-02,Wheat,2168.81
2021-05-02,Wheat,2368.31
2021-06-02,Wheat,1838.28
2021-07-02,Wheat,1663.35
2021-08-02,Wheat,1728.22
2021-09-02,Wheat,2498.4
2021-10-02,Wheat,1655.92
2021-11-02,Wheat,2434.77
2021-12-02,Wheat,2217.2
2021-02-13,Wheat,2437.3
2021-02-14,Wheat,1646.65
2021-02-15,Wheat,2106.35
2021-02-16,Wheat,2456.36
2021-02-17,Wheat,2062.61
2021-02-18,Wheat,1949.99
2021-02-19,Wheat,1688.14
2021-02-20,Wheat,2284.38
2021-02-21,Wheat,1669.8
2021-02-22,Wheat,2089.57
2021-02-23,Wheat,2137.25
2021-02-24,Wheat,1950.34
2021-02-25,Wheat,1745.14
2021-02-26,Wheat,2001.48
2021-02-27,Wheat,1822.98
2021-02-28,Wheat,1682.14
2021-01-03,Wheat,2013.85
2021-02-03,Wheat,2125.13
2021-03-03,Wheat,1843.55
2021-04-03,Wheat,1973.14
2021-05-03,Wheat,1989.51
2021-06-03,Wheat,2219.91
2021-07-03,Wheat,1711.81
2021-08-03,Wheat,1951.18
2021-09-03,Wheat,2116.86
2021-10-03,Wheat,1983.89
2021-11-03,Wheat,2146.46
2021-12-03,Wheat,1988.06
2021-03-13,Wheat,2119.92
2021-03-14,Wheat,1706.7
2021-03-15,Wheat,2039.39
2021-03-16,Wheat,2489.6
2021-03-17,Wheat,1716.17
2021-03-18,Wheat,1768.19
2021-03-19,Wheat,1672.35
2021-03-20,Wheat,2216.14
2021-03-21,Wheat,1741.85
2021-03-22,Wheat,2051.48
2021-03-23,Wheat,1797.14
2021-03-24,Wheat,2265.87
2021-03-25,Wheat,1995.97
2021-03-26,Wheat,2022.42
2021-03-27,Wheat,2214.11
2021-03-28,Wheat,1784.25
2021-03-29,Wheat,1935.16
2021-03-30,Wheat,2624.83
2021-03-31,Wheat,2670.02
2021-01-04,Wheat,2191.0
2021-02-04,Wheat,2796.66
2021-03-04,Wheat,2176.72
2021-04-04,Wheat,1795.17
2021-05-04,Wheat,2054.09
2021-06-04,Wheat,2118.2
2021-07-04,Wheat,2301.85
2021-08-04,Wheat,2106.13
2021-09-04,Wheat,2315.16
2021-10-04,Wheat,3000.02
2021-11-04,Wheat,1688.14
2021-12-04,Wheat,2343.25
2021-04-13,Wheat,2919.58
2021-04-14,Wheat,3182.48
2021-04-15,Wheat,2203.86
2021-04-16,Wheat,2183.09
2021-04-17,Wheat,2380.03
2021-04-18,Wheat,1726.19
2021-04-19,Wheat,2646.35
2021-04-20,Wheat,2431.44
2021-04-21,Wheat,3139.03
2021-04-22,Wheat,2050.09
2021-04-23,Wheat,2248.3
2021-04-24,Wheat,1859.62
2021-04-25,Wheat,2005.94
2021-04-26,Wheat,2313.78
2021-04-27,Wheat,2257.45
2021-04-28,Wheat,1944.84
2021-04-29,Wheat,2193.99
2021-04-30,Wheat,2114.61
2021-01-05,Wheat,2529.29
2021-02-05,Wheat,1763.57
2021-03-05,Wheat,2270.6
2021-04-05,Wheat,2169.37
2021-05-05,Wheat,1997.63
2021-06-05,Wheat,2123.37
2021-07-05,Wheat,2234.62
2021-08-05,Wheat,2634.64
2021-09-05,Wheat,2030.8
2021-10-05,Wheat,2593.93
2021-11-05,Wheat,2684.25
2021-12-05,Wheat,2243.16
2021-05-13,Wheat,2471.51
2021-05-14,Wheat,3222.29
2021-05-15,Wheat,2839.71
2021-05-16,Wheat,1660.81
2021-05-17,Wheat,2554.45
2021-05-18,Wheat,2399.9
2021-05-19,Wheat,2391.8
2021-05-20,Wheat,2285.88
2021-05-21,Wheat,1860.86
2021-05-22,Wheat,2422.31
2021-05-23,Wheat,1770.48
2021-05-24,Wheat,2041.82
2021-05-25,Wheat,2363.69
2021-05-26,Wheat,2944.28
2021-05-27,Wheat,2013.04
2021-05-28,Wheat,2014.59
2021-05-29,Wheat,2298.95
2021-05-30,Wheat,1738.71
2021-05-31,Wheat,2187.15
2021-01-06,Wheat,2409.65
2021-02-06,Wheat,1650.79
2021-03-06,Wheat,1769.75
2021-04-06,Wheat,2226.34
2021-05-06,Wheat,1929.77
2021-06-06,Wheat,1719.58
2021-07-06,Wheat,1860.83
2021-08-06,Wheat,2571.87
2021-09-06,Wheat,2447.84
2021-10-06,Wheat,2372.56
2021-11-06,Wheat,2277.45
2021-12-06,Wheat,2538.35
2021-06-13,Wheat,2144.82
2021-06-14,Wheat,2195.22
2021-06-15,Wheat,2604.38
2021-06-16,Wheat,2280.7
2021-06-17,Wheat,2233.21
2021-06-18,Wheat,2271.0
2021-06-19,Wheat,2427.75
2021-06-20,Wheat,1739.13
2021-06-21,Wheat,2242.56
2021-06-22,Wheat,2441.11
2021-06-23,Wheat,2281.72
2021-06-24,Wheat,2346.92
2021-06-25,Wheat,2188.86
2021-06-26,Wheat,2529.95
2021-06-27,Wheat,2007.42
2021-06-28,Wheat,2204.37
2021-06-29,Wheat,2381.26
2021-06-30,Wheat,2134.69
2021-01-07,Wheat,2437.45
2021-02-07,Wheat,2396.26
2021-03-07,Wheat,2725.29
2021-04-07,Wheat,1672.94
2021-05-07,Wheat,2669.41
2021-06-07,Wheat,2867.95
2021-07-07,Wheat,2500.98
2021-08-07,Wheat,2587.5
2021-09-07,Wheat,2770.93
2021-10-07,Wheat,3085.57
2021-11-07,Wheat,1646.1
2021-12-07,Wheat,2526.95
2021-07-13,Wheat,2782.53
2021-07-14,Wheat,2541.98
2021-07-15,Wheat,2411.28
2021-07-16,Wheat,1101.93
2021-07-17,Wheat,2385.04
2021-07-18,Wheat,1907.07
2021-07-19,Wheat,2288.04
2021-07-20,Wheat,1960.12
2021-07-21,Wheat,3254.65
2021-07-22,Wheat,2203.82
2021-07-23,Wheat,2368.43
2021-07-24,Wheat,2376.06
2021-07-25,Wheat,1660.73
2021-07-26,Wheat,2190.47
2021-07-27,Wheat,2481.24
2021-07-28,Wheat,2217.98
2021-07-29,Wheat,2121.26
2021-07-30,Wheat,2209.45
2021-07-31,Wheat,2486.95
2021-01-08,Wheat,1809.87
2021-02-08,Wheat,2406.09
2021-03-08,Wheat,2489.41
2021-04-08,Wheat,2441.08
2021-05-08,Wheat,2608.1
2021-06-08,Wheat,2432.34
2021-07-08,Wheat,2542.36
2021-08-08,Wheat,1667.33
2021-09-08,Wheat,2419.1
2021-10-08,Wheat,2379.25
2021-11-08,Wheat,2180.83
2021-12-08,Wheat,2126.39
2021-08-13,Wheat,2603.71
2021-08-14,Wheat,2530.32
2021-08-15,Wheat,1718.75
2021-08-16,Wheat,2744.51
2021-08-17,Wheat,2610.27
2021-08-18,Wheat,2355.24
2021-08-19,Wheat,2555.41
2021-08-20,Wheat,2363.91
2021-08-21,Wheat,2501.9
2021-08-22,Wheat,1718.3
2021-08-23,Wheat,2291.67
2021-08-24,Wheat,2504.62
2021-08-25,Wheat,2256.84
2021-08-26,Wheat,2133.83
2021-08-27,Wheat,2081.63
2021-08-28,Wheat,2423.32
2021-08-29,Wheat,1783.62
2021-08-30,Wheat,2372.01
2021-08-31,Wheat,2122.34
2021-01-09,Wheat,2485.08
2021-02-09,Wheat,2251.55
2021-03-09,Wheat,2336.64
2021-04-09,Wheat,2436.07
2021-05-09,Wheat,1828.4
2021-06-09,Wheat,3055.55
2021-07-09,Wheat,2942.24
2021-08-09,Wheat,2614.67
2021-09-09,Wheat,2261.87
2021-10-09,Wheat,2020.9
2021-11-09,Wheat,2757.39
2021-12-09,Wheat,1850.32
2021-09-13,Wheat,3270.15
2021-09-14,Wheat,2546.64
2021-09-15,Wheat,2363.56
2021-09-16,Wheat,2257.03
2021-09-17,Wheat,2657.83
2021-09-18,Wheat,2366.18
2021-09-19,Wheat,1843.88
2021-09-20,Wheat,2390.79
2021-09-21,Wheat,2375.21
2021-09-22,Wheat,2114.31
2021-09-23,Wheat,2258.91
2021-09-24,Wheat,2304.05
2021-09-25,Wheat,2065.76
2021-09-26,Wheat,1789.56
2021-09-27,Wheat,2761.33
2021-09-28,Wheat,2697.97
2021-09-29,Wheat,1896.31
2021-09-30,Wheat,2539.46
2021-01-10,Wheat,2791.79
2021-02-10,Wheat,3346.32
2021-03-10,Wheat,1771.66
2021-04-10,Wheat,2155.28
2021-05-10,Wheat,2423.93
2021-06-10,Wheat,2907.71
2021-07-10,Wheat,2292.42
2021-08-10,Wheat,2446.99
2021-09-10,Wheat,2494.42
2021-10-10,Wheat,1809.89
2021-11-10,Wheat,2257.35
2021-12-10,Wheat,2677.43
2021-10-13,Wheat,2367.45
2021-10-14,Wheat,2378.1
2021-10-15,Wheat,2042.25
2021-10-16,Wheat,2071.81
2021-10-17,Wheat,1811.43
2021-10-18,Wheat,2241.59
2021-10-19,Wheat,3231.65
2021-10-20,Wheat,2431.1
2021-10-21,Wheat,2334.38
2021-10-22,Wheat,2492.16
2021-10-23,Wheat,2549.06
2021-10-24,Wheat,1811.99
2021-10-25,Wheat,2360.74
2021-10-26,Wheat,2574.58
2021-10-27,Wheat,2510.85
2021-10-28,Wheat,2585.59
2021-10-29,Wheat,2520.66
2021-10-30,Wheat,2662.63
2021-10-31,Wheat,1845.09
2021-01-11,Wheat,2797.56
2021-02-11,Wheat,3105.63
2021-03-11,Wheat,3090.45
2021-04-11,Wheat,1795.65
2021-05-11,Wheat,3069.14
2021-06-11,Wheat,2282.07
2021-07-11,Wheat,1828.12
2021-08-11,Wheat,2473.75
2021-09-11,Wheat,2220.11
2021-10-11,Wheat,2482.6
2021-11-11,Wheat,2356.69
2021-12-11,Wheat,2664.37
2021-11-13,Wheat,2547.0
2021-11-14,Wheat,1812.03
2021-11-15,Wheat,2605.36
2021-11-16,Wheat,2630.48
2021-11-17,Wheat,2510.77
2021-11-18,Wheat,2457.99
2021-11-19,Wheat,2804.77
2021-11-20,Wheat,2466.55
2021-11-21,Wheat,1855.45
2021-11-22,Wheat,2780.34
2021-11-23,Wheat,2438.62
2021-11-24,Wheat,2443.33
2021-11-25,Wheat,2431.47
2021-11-26,Wheat,2526.66
2021-11-27,Wheat,2446.24
2021-11-28,Wheat,1864.77
2021-11-29,Wheat,2479.39
2021-11-30,Wheat,2515.2
2021-01-12,Wheat,2472.42
2021-02-12,Wheat,2490.74
2021-03-12,Wheat,2518.89
2021-04-12,Wheat,2484.9
2021-05-12,Wheat,1863.66
2021-06-12,Wheat,2497.01
2021-07-12,Wheat,4141.2
2021-08-12,Wheat,2537.13
2021-09-12,Wheat,2503.15
2021-10-12,Wheat,2128.47
2021-11-12,Wheat,2629.88
2021-12-12,Wheat,1887.1
2021-12-13,Wheat,2626.26
2021-12-14,Wheat,2730.86
2021-12-15,Wheat,2353.05
2021-12-16,Wheat,2512.23
2021-12-17,Wheat,2323.08
2021-12-18,Wheat,2755.01
2021-12-19,Wheat,1989.79
2021-12-20,Wheat,2296.39
