commodity,year,month,total_news,average_sentiment,positive_news,negative_news,neutral_news,news_growth
bajra,2026,5,1,-1.0,0,1,0,0.0
basmati rice,2026,5,15,-0.26666666666666666,1,5,9,0.0
basmati rice,2026,6,27,0.14814814814814814,9,5,13,0.8
black pepper,2026,6,77,0.0,4,4,69,0.0
cardamom,2026,5,25,-0.08,1,3,21,0.0
cardamom,2026,6,51,0.0,5,5,41,1.04
chilli,2026,6,73,-0.1095890410958904,5,13,55,0.0
coffee,2026,6,84,-0.20238095238095238,3,20,61,0.0
cotton,2026,6,83,-0.08433734939759036,7,14,62,0.0
fruits,2026,6,84,0.011904761904761904,9,8,67,0.0
groundnut,2026,5,4,0.75,3,0,1,0.0
groundnut,2026,6,11,0.36363636363636365,6,2,3,1.75
jowar,2026,5,5,0.2,2,1,2,0.0
jowar,2026,6,9,-0.1111111111111111,2,3,4,0.8
maize,2026,6,87,0.011494252873563218,21,20,46,0.0
millets,2026,5,7,0.2857142857142857,3,1,3,0.0
millets,2026,6,21,0.047619047619047616,5,4,12,2.0
soybean,2026,6,78,-0.02564102564102564,23,25,30,0.0
sugar,2026,6,92,-0.07608695652173914,13,20,59,0.0
sugarcane,2026,6,82,0.0975609756097561,25,17,40,0.0
tea,2026,6,83,-0.024096385542168676,10,12,61,0.0
turmeric,2026,6,90,0.1111111111111111,20,10,60,0.0
vegetables,2026,6,42,0.0,5,5,32,0.0
wheat,2026,6,93,-0.021505376344086023,23,25,45,0.0
