commodity,country,keyword,title,date,source,url,language
Wheat,India,export,India lifts total wheat export quota to 5 million tons,,economictimes.indiatimes.com,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/india-lifts-total-wheat-export-quota-to-5-million-tons/articleshow/130433071.cms,English
Wheat,India,export,India move to export 5 mt wheat unlikely to impact global market,,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/agri-business/indias-move-to-export-5-mt-wheat-unlikely-to-impact-global-market/article70895909.ece,English
Wheat,India,export,"India set to double wheat , flour export quota to tap global price spurt",,livemint.com,https://www.livemint.com/news/wheat-atta-export-quota-record-harvest-farmers-war-food-price-11775988819013.html,English
Wheat,India,export,"Geopolitical crisis , weather may help India export 2 mt of wheat , says USDA",,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/agri-business/geopolitical-crisis-weather-may-help-india-export-2-mt-of-wheat-says-usda/article70973195.ece,English
Wheat,India,export,"LInde reprend ses exportations de blé après quatre ans , mais la cherté des prix devrait limiter la demande",,zonebourse.com,https://www.zonebourse.com/actualite-bourse/l-inde-reprend-ses-exportations-de-ble-apres-quatre-ans-mais-la-cherte-des-prix-devrait-limiter-la-ce7f58dedd81f422,French
Wheat,India,export,Mint Explainer | Is India wheat export push a good idea ? ,,livemint.com,https://www.livemint.com/economy/wheat-exports-india-farmers-income-prices-11776743214640.html,English
Wheat,India,export,"India Grain Reserves : India builds record grain reserves as El Nino returns : Rice stocks hit new peak , wheat stores at five - year high",,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/india-builds-record-grain-reserves-as-el-nino-returns-rice-stocks-hit-new-peak-wheat-stores-at-five-year-high/articleshow/131771809.cms,English
Wheat,India,export,Commerce Ministry notifies decision to allow exports of 25 lakh tonne additional wheat,,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/commodities/commerce-ministry-notifies-decision-to-allow-exports-of-25-lakh-tonne-additional-wheat/article70915520.ece,English
Wheat,India,export,किसानों और कृषि के सामने मानसून का जोखिम - dainiktribuneonline . com,,dainiktribuneonline.com,https://www.dainiktribuneonline.com/news/comment/monsoon-risks-facing-farmers-and-agriculture/,Hindi
Wheat,India,export,Govt wheat procurement to drop 69 % due to delayed arrivals,,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/economy/agriculture/govts-wheat-procurement-to-drop-69-due-to-delayed-arrivals/articleshow/130292742.cms,English
Wheat,India,export,India foodgrain stocks swell lens on effective management,,livemint.com,https://www.livemint.com/news/india/indias-foodgrain-stocks-buffer-norm-on-management-export-11776767956893.html,English
Wheat,India,export,India Records Highest - Ever Foodgrain Output,,indiawest.com,https://indiawest.com/india-records-highest-ever-foodgrain-output/,English
Wheat,India,export,West Asia Crisis : भारत से गेहूं आयात करेगा बांग्लादेश,,aajsamaaj.com,https://www.aajsamaaj.com/bangladesh-to-import-wheat-from-india-amidst-west-asia-crisis/,Hindi
Wheat,India,export,India approves additional 2 . 5 million mt of wheat exports | Hellenic Shipping News Worldwide,,hellenicshippingnews.com,https://www.hellenicshippingnews.com/india-approves-additional-2-5-million-mt-of-wheat-exports/,English
