commodity,year,month,total_news,average_sentiment,positive_news,negative_news,neutral_news,news_growth
COFFEE,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
COFFEE,2026,6,96.0,-0.1770833333333333,7.0,24.0,65.0,95.0
COTTON,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
COTTON,2026,6,95.0,-0.0105263157894736,11.0,12.0,72.0,94.0
SOYBEANS,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
SOYBEANS,2026,6,94.0,0.0638297872340425,30.0,24.0,40.0,93.0
SUGAR,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
SUGAR,2026,6,94.0,-0.0957446808510638,8.0,17.0,69.0,93.0
WHEAT,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
WHEAT,2026,6,96.0,-0.15625,14.0,29.0,53.0,95.0
