Date,COFFEE,SUGAR,SOYBEANS,WHEAT,COTTON
2000-01-02,111.65,5.39,510.0,258.0,57.13
2000-01-03,101.15,5.08,496.5,247.75,59.5
2000-01-05,100.3,6.53,555.0,251.0,56.3
2000-01-06,94.45,7.79,522.5,270.5,60.25
2000-01-08,86.3,10.35,442.0,245.0,59.01
2000-01-09,75.0,10.82,492.75,250.25,63.49
2000-01-11,73.9,9.75,462.75,254.75,62.57
2000-01-12,67.0,9.66,508.0,260.25,64.35
2000-02-02,112.25,5.5,507.5,257.25,57.04
2000-02-03,105.1,4.96,501.5,247.25,58.65
2000-02-05,99.1,6.4,554.25,254.25,57.75
2000-02-06,95.55,8.14,533.75,271.25,58.99
2000-02-08,86.45,10.79,445.5,246.25,58.64
2000-02-10,79.35,9.64,489.5,267.0,63.53
2000-02-11,74.25,9.54,473.25,259.75,62.91
2000-03-01,116.5,6.1,456.5,247.5,51.07
2000-03-02,112.95,5.61,501.0,253.75,56.09
2000-03-03,104.35,5.05,504.0,247.5,59.05
2000-03-04,102.1,5.91,546.5,257.75,58.39
2000-03-05,94.45,6.4,560.75,260.0,56.95
2000-03-07,84.85,8.5,468.5,245.5,50.88
2000-03-08,85.85,11.06,439.75,242.25,58.89
2000-03-10,79.4,9.71,489.0,268.75,63.95
2000-03-11,73.6,9.57,473.25,264.0,63.75
2000-04-01,116.25,5.77,464.25,247.25,50.73
2000-04-02,112.9,5.79,505.5,257.0,56.08
2000-04-04,100.1,5.81,538.5,255.75,57.21
2000-04-05,96.85,6.53,561.0,265.5,56.8
2000-04-07,84.85,8.5,468.5,245.5,50.88
2000-04-08,85.6,10.8,437.0,237.0,58.6
2000-04-09,75.0,10.82,492.75,250.25,63.49
2000-04-10,79.35,10.0,486.25,267.25,63.4
2000-04-12,67.3,9.86,504.5,262.0,64.65
2000-05-01,118.6,5.81,469.25,249.75,51.56
2000-05-04,101.8,6.02,543.0,256.25,56.4
2000-05-05,96.85,6.59,555.0,261.75,58.4
2000-05-06,93.35,8.0,529.25,266.0,58.67
2000-05-07,85.4,8.69,472.5,248.0,50.65
2000-05-09,73.1,10.43,502.0,253.0,64.54
2000-05-10,78.7,10.03,485.0,267.25,63.6
2000-05-12,66.5,9.71,500.75,259.25,64.35
2000-06-01,116.85,5.77,468.0,248.5,52.08
2000-06-03,106.3,5.04,508.25,249.75,59.4
2000-06-04,100.85,5.96,531.0,253.75,55.68
2000-06-06,89.15,8.15,530.5,267.0,57.6
2000-06-07,82.85,8.86,470.75,244.5,50.05
2000-06-09,75.25,10.4,485.25,247.5,64.36
2000-06-10,79.45,10.08,485.0,268.0,64.21
2000-06-11,74.7,9.56,474.25,262.75,65.36
2000-06-12,66.15,9.61,507.0,260.0,64.34
2000-07-01,114.15,5.84,471.5,251.75,53.96
2000-07-02,111.7,5.66,506.5,258.75,56.18
